name,id,origin date,status,type,street,city,state,zip
SMART DOG LLC,0557495,1997-03-03,Active,Domestic Limited Liability Company,1310 COUNTRY CLUB RD,MIDDLETOWN,CT,06457
"SMILING DOG PET SERVICES, LLC",0968092,2009-04-08,Active,Domestic Limited Liability Company,356 CHILD ROAD,WOODSTOCK,CT,06281
"SMILING DOGS TRAINING, LLC",1048882,2011-09-20,Active,Foreign Limited Liability Company,41 STATE PLACE,HUNTINGTON,NY,11743
"SNOW DOG ENTERPRISES, LLC",0721532,2002-07-29,Active,Domestic Limited Liability Company,"2 MANSFIELD GROVE RD, #362",EAST HAVEN,CT,06512
SNOW DOGS LLC,0874865,2006-10-04,Active,Domestic Limited Liability Company,"120 GOODWIN PLACE, 120 GOODWIN PLACE",STRATFORD,CT,06615
"SOUTHERN BERKSHIRE AGILITY DOGS, INC.",0666227,2000-11-16,Active,Corporation,,,,
"SPOTTY DOG RESCUE, INC.",1082334,2012-09-04,Active,Corporation,212 LYMAN ROAD,WOLCOTT,CT,06716
"SPRUCE BROOK BIRD DOG CLUB INCORPORATED, THE",0060126,1959-03-17,Active,Corporation,215 OAK ST,WINSTED,CT,06098
"STADIUM DOG, LLC",0939168,2008-05-23,Active,Domestic Limited Liability Company,366 FARMINGTON AVENUE,NEW BRITAIN,CT,06053
STEVE'S TOP DOG LLC,0958601,2009-01-02,Active,Domestic Limited Liability Company,175 BRACE AVE,BRISTOL,CT,06010
SUGAR AND SPICE DOG GROOMING & BAKERY LLC,1161220,2014-11-18,Active,Domestic Limited Liability Company,14 MAIN STREET,COLCHESTER,CT,06415
SUSIE'S DOG GROOMING LLC,0678884,2001-04-12,Active,Domestic Limited Liability Company,"560 FOREST RD, UNIT C",WEST HAVEN,CT,
SWAMP DOG HOLLOW LLC,1146590,2014-06-19,Active,Domestic Limited Liability Company,382 BAILEYVILLE ROAD,MIDDLEFIELD,CT,06455
